sample_index,time_s,voltage_mV
827,1.654,2.48366
828,1.656,2.47883
829,1.658,2.48286
830,1.66,2.46755
831,1.662,2.46916
832,1.664,2.45062
833,1.666,2.45223
834,1.668,2.45385
835,1.67,2.46432
836,1.672,2.45546
837,1.674,2.45304
838,1.676,2.46755
839,1.678,2.45223
840,1.68,2.45385
841,1.682,2.45304
842,1.684,2.45385
843,1.686,2.45707
844,1.688,2.45626
845,1.69,2.46674
846,1.692,2.45868
847,1.694,2.46432
848,1.696,2.47883
849,1.698,2.47802
850,1.7,2.4748
851,1.702,2.47399
852,1.704,2.48125
853,1.706,2.46996
854,1.708,2.47802
855,1.71,2.48366
856,1.712,2.49736
857,1.714,2.50623
858,1.716,2.50139
859,1.718,2.50623
860,1.72,2.52718
861,1.722,2.54491
862,1.724,2.54249
863,1.726,2.55055
864,1.728,2.57392
865,1.73,2.56103
866,1.732,2.53766
867,1.734,2.53846
868,1.736,2.55458
869,1.738,2.5441
870,1.74,2.52154
871,1.742,2.5159
872,1.744,2.53443
873,1.746,2.53846
874,1.748,2.52879
875,1.75,2.51751
876,1.752,2.53846
877,1.754,2.52396
878,1.756,2.55619
879,1.758,2.56586
880,1.76,2.53604
881,1.762,2.52879
882,1.764,2.52718
883,1.766,2.52799
884,1.768,2.52718
885,1.77,2.53121
886,1.772,2.52476
887,1.774,2.50945
888,1.776,2.50542
889,1.778,2.51509
890,1.78,2.51106
891,1.782,2.51348
892,1.784,2.52234
893,1.786,2.5304
894,1.788,2.51832
895,1.79,2.49656
896,1.792,2.49253
897,1.794,2.49656
898,1.796,2.5159
899,1.798,2.52396
900,1.8,2.503
901,1.802,2.50703
902,1.804,2.51267
903,1.806,2.503
904,1.808,2.50462
905,1.81,2.49092
906,1.812,2.47641
907,1.814,2.47319
908,1.816,2.48366
909,1.818,2.4893
910,1.82,2.46593
911,1.822,2.46352
912,1.824,2.44579
913,1.826,2.43692
914,1.828,2.43853
915,1.83,2.44659
916,1.832,2.44337
917,1.834,2.42806
918,1.836,2.43773
919,1.838,2.44579
920,1.84,2.44095
921,1.842,2.44498
922,1.844,2.44982
923,1.846,2.45062
924,1.848,2.44095
925,1.85,2.44015
926,1.852,2.44579
927,1.854,2.43289
928,1.856,2.42322
929,1.858,2.42725
930,1.86,2.41758
931,1.862,2.42242
932,1.864,2.39905
933,1.866,2.39421
934,1.868,2.41919
935,1.87,2.41033
936,1.872,2.39018
937,1.874,2.38938
938,1.876,2.3926
939,1.878,2.38293
940,1.88,2.39099
941,1.882,2.3926
942,1.884,2.39179
943,1.886,2.38938
944,1.888,2.37648
945,1.89,2.37648
946,1.892,2.39018
947,1.894,2.38696
948,1.896,2.37407
949,1.898,2.34667
950,1.9,2.38615
951,1.902,2.38374
952,1.904,2.38777
953,1.906,2.3926
954,1.908,2.39421
955,1.91,2.39582
956,1.912,2.3926
957,1.914,2.3789
958,1.916,2.38857
959,1.918,2.37971
960,1.92,2.38696
961,1.922,2.37407
962,1.924,2.37004
963,1.926,2.36117
964,1.928,2.3652
965,1.93,2.36923
966,1.932,2.37326
967,1.934,2.36681
968,1.936,2.36762
969,1.938,2.36762
970,1.94,2.37245
971,1.942,2.37004
972,1.944,2.37326
973,1.946,2.37326
974,1.948,2.37084
975,1.95,2.38051
976,1.952,2.3789
977,1.954,2.37729
978,1.956,2.38051
979,1.958,2.38696
980,1.96,2.38132
981,1.962,2.38696
982,1.964,2.38293
983,1.966,2.37729
984,1.968,2.38615
985,1.97,2.37971
986,1.972,2.37165
987,1.974,2.37487
988,1.976,2.37729
989,1.978,2.38535
990,1.98,2.38132
991,1.982,2.37407
992,1.984,2.36842
993,1.986,2.38535
994,1.988,2.37165
995,1.99,2.36842
996,1.992,2.3781
997,1.994,2.38051
998,1.996,2.38615
999,1.998,2.38777
1000,2.0,2.38777
1001,2.002,2.38938
1002,2.004,2.38293
1003,2.006,2.36359
1004,2.008,2.38293
1005,2.01,2.38938
1006,2.012,2.37487
1007,2.014,2.38374
1008,2.016,2.37165
1009,2.018,2.37568
1010,2.02,2.36842
1011,2.022,2.36923
1012,2.024,2.36842
1013,2.026,2.37084
1014,2.028,2.36278
1015,2.03,2.35956
1016,2.032,2.34747
1017,2.034,2.35795
1018,2.036,2.34747
1019,2.038,2.34586
1020,2.04,2.34505
1021,2.042,2.3515
1022,2.044,2.35392
1023,2.046,2.35473
1024,2.048,2.35392
1025,2.05,2.36198
1026,2.052,2.36681
1027,2.054,2.36923
1028,2.056,2.38696
1029,2.058,2.38777
1030,2.06,2.36681
1031,2.062,2.37407
1032,2.064,2.37568
1033,2.066,2.36037
1034,2.068,2.36601
1035,2.07,2.36601
1036,2.072,2.37407
1037,2.074,2.37729
1038,2.076,2.40227
1039,2.078,2.39018
1040,2.08,2.39099
1041,2.082,2.38696
1042,2.084,2.38374
1043,2.086,2.38938
1044,2.088,2.3926
1045,2.09,2.38938
1046,2.092,2.38615
1047,2.094,2.39582
1048,2.096,2.38777
1049,2.098,2.40147
1050,2.1,2.39582
1051,2.102,2.40469
1052,2.104,2.41194
1053,2.106,2.40227
1054,2.108,2.4063
1055,2.11,2.40308
1056,2.112,2.41033
1057,2.114,2.41436
1058,2.116,2.40469
1059,2.118,2.41033
1060,2.12,2.42564
1061,2.122,2.42564
1062,2.124,2.41033
1063,2.126,2.41678
1064,2.128,2.41597
1065,2.13,2.41758
1066,2.132,2.42081
1067,2.134,2.4337
1068,2.136,2.43048
1069,2.138,2.45465
1070,2.14,2.47319
1071,2.142,2.49736
1072,2.144,2.53282
1073,2.146,2.56022
1074,2.148,2.58601
1075,2.15,2.60857
1076,2.152,2.66498
1077,2.154,2.6811
1078,2.156,2.71817
1079,2.158,2.76733
1080,2.16,2.8181
1081,2.162,2.87692
1082,2.164,2.93575
1083,2.166,3.00908
1084,2.168,3.07033
1085,2.17,3.11949
1086,2.172,3.18718
1087,2.174,3.25326
1088,2.176,3.29919
1089,2.178,3.3
1090,2.18,3.3
1091,2.182,3.3
1092,2.184,3.3
1093,2.186,3.3
1094,2.188,3.3
1095,2.19,3.3
1096,2.192,3.3
